City,Time,O3,PM2.5,PM10,CO,SO2,NO2,Temp,RHum,WSpd,O3_P1,O3_P4,O3_P8,O3_P24,PM2.5_P1,PM2.5_P4,PM2.5_P8,PM2.5_P24
Denver,2021-04-03 00:00:00+00:00,0.059,5.8,24.9,0.34,0.0,0.008,22.3,7.0,7.6,0.038,0.0165,0.017,0.046,6.5,10.3,8.266666666666667,4.533333333333333
Denver,2021-04-03 01:00:00+00:00,0.038,6.5,36.0,0.42,0.0,0.025,18.6,11.0,9.4,0.004,0.016,0.017333333333333333,0.037,10.3,8.9,8.055555555555555,4.8
Denver,2021-04-03 02:00:00+00:00,0.004,10.3,63.6,0.88,0.0,0.051,16.4,13.0,11.2,0.017,0.01633333333333333,0.017666666666666667,0.028,11.7,8.68888888888889,7.844444444444445,6.1
Denver,2021-04-03 03:00:00+00:00,0.017,11.7,41.3,0.55,0.001,0.035,14.3,16.0,13.0,0.0165,0.016666666666666666,0.018,0.018,10.3,8.477777777777778,7.633333333333334,9.5
Denver,2021-04-03 04:00:00+00:00,0.0165,10.3,37.599999999999994,0.48,0.0005,0.034090909090909095,9.3,30.0,14.8,0.016,0.017,0.018333333333333333,0.026000000000000002,8.9,8.266666666666667,7.4222222222222225,7.8
Denver,2021-04-03 05:00:00+00:00,0.016,8.9,33.9,0.41,0.0,0.03318181818181819,10.9,22.0,5.4,0.01633333333333333,0.017333333333333333,0.018666666666666665,0.034,8.68888888888889,8.055555555555555,7.211111111111111,6.1
Denver,2021-04-03 13:00:00+00:00,0.01633333333333333,8.68888888888889,32.955555555555556,0.4122222222222222,0.0,0.03227272727272727,5.3,39.0,7.6,0.016666666666666666,0.017666666666666667,0.019,0.03489473684210527,8.477777777777778,7.844444444444445,7.0,6.010526315789473
Denver,2021-04-03 12:00:00+00:00,0.016666666666666666,8.477777777777778,32.011111111111106,0.41444444444444445,0.0,0.031363636363636364,7.2,33.0,7.6,0.017,0.018,0.027999999999999997,0.03578947368421053,8.266666666666667,7.633333333333334,6.4,5.921052631578947
Denver,2021-04-03 11:00:00+00:00,0.017,8.266666666666667,31.066666666666663,0.41666666666666663,0.0,0.030454545454545456,6.2,33.0,5.4,0.017333333333333333,0.018333333333333333,0.037,0.03668421052631579,8.055555555555555,7.4222222222222225,5.8,5.8315789473684205
Denver,2021-04-03 10:00:00+00:00,0.017333333333333333,8.055555555555555,30.12222222222222,0.41888888888888887,0.0,0.02954545454545455,5.9,35.0,14.8,0.017666666666666667,0.018666666666666665,0.048,0.03757894736842105,7.844444444444445,7.211111111111111,5.0,5.742105263157894
Denver,2021-04-03 09:00:00+00:00,0.017666666666666667,7.844444444444445,29.177777777777777,0.4211111111111111,0.0,0.02863636363636364,6.2,34.0,14.8,0.018,0.019,0.057,0.03847368421052631,7.633333333333334,7.0,4.2,5.652631578947368
Denver,2021-04-03 08:00:00+00:00,0.018,7.633333333333334,28.23333333333333,0.42333333333333334,0.0,0.02772727272727273,6.9,32.0,14.8,0.018333333333333333,0.027999999999999997,0.058499999999999996,0.03936842105263158,7.4222222222222225,6.4,3.95,5.563157894736841
