City,Time,O3,PM2.5,PM10,CO,SO2,NO2,Temp,RHum,WSpd,O3_P1,O3_P4,O3_P8,O3_P24,PM2.5_P1,PM2.5_P4,PM2.5_P8,PM2.5_P24
Denver,2019-01-01 02:00:00+00:00,0.019,6.8,14.0,0.1,0.0,0.009,-14.2,83.0,20.5,0.02,0.018,0.02,0.0,6.7,6.7,7.3,21.9
Denver,2019-01-01 03:00:00+00:00,0.02,6.7,12.0,0.1,0.0,0.008,-14.3,85.0,14.8,0.012,0.018,0.022,0.001,6.7,7.8,6.2,28.0
Denver,2019-01-01 04:00:00+00:00,0.012,6.7,12.0,0.1,0.0,0.014,-15.3,85.0,13.0,0.012,0.016,0.022,0.001,6.8,7.0,5.1,23.9
Denver,2019-01-01 05:00:00+00:00,0.012,6.8,14.0,0.1,0.0,0.02,-15.9,86.0,9.4,0.018,0.018000000000000002,0.015,0.0,6.7,7.15,5.8,21.1
Denver,2019-01-01 06:00:00+00:00,0.018,6.7,12.0,0.2,0.0,0.011,-16.8,87.0,7.6,0.018,0.02,0.016,0.0,7.8,7.3,5.7,19.4
Denver,2019-01-01 07:00:00+00:00,0.018,7.8,14.0,0.2,0.0,0.01,-17.8,86.0,9.4,0.016,0.022,0.015,0.0,7.0,6.2,5.6,15.7
Denver,2019-01-01 08:00:00+00:00,0.016,7.0,13.0,0.2,0.0,0.012,-17.9,86.0,7.6,0.018000000000000002,0.022,0.017,0.0,7.15,5.1,7.0,19.5
Denver,2019-01-01 09:00:00+00:00,0.018000000000000002,7.15,12.5,0.15000000000000002,0.0,0.012,-17.7,84.0,9.4,0.02,0.015,0.023,0.0005,7.3,5.8,8.8,24.1
Denver,2019-01-01 10:00:00+00:00,0.02,7.3,12.0,0.1,0.0,0.012,-17.6,84.0,13.0,0.022,0.016,0.022,0.001,6.2,5.7,11.7,28.7
Denver,2019-01-01 11:00:00+00:00,0.022,6.2,10.0,0.1,0.0,0.015,-17.6,84.0,16.6,0.022,0.015,0.023,0.0,5.1,5.6,12.2,22.0
Denver,2019-01-01 12:00:00+00:00,0.022,5.1,9.0,0.1,0.0,0.02,-18.5,84.0,13.0,0.015,0.017,0.023,0.0,5.8,7.0,12.0,17.1
Denver,2019-01-01 13:00:00+00:00,0.015,5.8,10.0,0.2,0.0,0.025,-18.0,84.0,7.6,0.016,0.023,0.022,0.0,5.7,8.8,13.2,8.2
Denver,2019-01-01 14:00:00+00:00,0.016,5.7,11.0,0.2,0.0,0.025,-19.5,83.0,9.4,0.015,0.022,0.02,0.001,5.6,11.7,13.4,7.8
Denver,2019-01-01 15:00:00+00:00,0.015,5.6,13.0,0.2,0.0,0.028,-18.6,84.0,5.4,0.017,0.023,0.013,0.006,7.0,12.2,14.2,8.9
Denver,2019-01-01 16:00:00+00:00,0.017,7.0,15.0,0.1,0.0,0.026,-16.0,80.0,5.4,0.023,0.023,0.005,0.014,8.8,12.0,13.9,7.6
Denver,2019-01-01 17:00:00+00:00,0.023,8.8,16.0,0.1,0.0,0.015,-13.4,70.0,9.4,0.022,0.022,0.001,0.027,11.7,13.2,12.9,5.9
Denver,2019-01-01 18:00:00+00:00,0.022,11.7,20.0,0.1,0.003,0.013,-12.9,63.0,11.2,0.023,0.02,0.0,0.03,12.2,13.4,21.9,5.7
Denver,2019-01-01 19:00:00+00:00,0.023,12.2,20.0,0.1,0.006,0.011,-11.7,58.0,7.6,0.023,0.013,0.001,0.03,12.0,14.2,28.0,6.4
Denver,2019-01-01 20:00:00+00:00,0.023,12.0,20.0,0.1,0.008,0.012,-11.1,60.0,9.4,0.022,0.005,0.001,0.031,13.2,13.9,23.9,6.1
Denver,2019-01-01 21:00:00+00:00,0.022,13.2,22.0,0.1,0.004,0.013,-10.8,57.0,5.4,0.02,0.001,0.0,0.028,13.4,12.9,21.1,6.6
Denver,2019-01-01 22:00:00+00:00,0.02,13.4,23.0,0.2,0.003,0.015,-10.9,60.0,7.6,0.013,0.0,0.0,0.023,14.2,21.9,19.4,7.1
Denver,2019-01-01 23:00:00+00:00,0.013,14.2,24.0,0.3,0.002,0.022,-11.4,60.0,0.0,0.005,0.001,0.0,0.008,13.9,28.0,15.7,9.5
Denver,2019-01-02 00:00:00+00:00,0.005,13.9,26.0,0.3,0.002,0.031,-13.4,68.0,0.0,0.001,0.001,0.0,0.001,12.9,23.9,19.5,10.8
Denver,2019-01-02 01:00:00+00:00,0.001,12.9,24.0,0.5,0.002,0.038,-16.4,75.0,9.4,0.0,0.0,0.0005,0.0,21.9,21.1,24.1,11.9
Denver,2019-01-02 02:00:00+00:00,0.0,21.9,33.0,0.6,0.001,0.035,-16.0,80.0,9.4,0.001,0.0,0.001,0.001,28.0,19.4,28.7,15.3
Denver,2019-01-02 03:00:00+00:00,0.001,28.0,38.0,0.6,0.001,0.034,-14.8,78.0,5.4,0.001,0.0,0.0,0.0,23.9,15.7,22.0,16.3
Denver,2019-01-02 04:00:00+00:00,0.001,23.9,32.0,0.4,0.0,0.033,-15.3,78.0,0.0,0.0,0.0,0.0,0.002,21.1,19.5,17.1,8.9
Denver,2019-01-02 05:00:00+00:00,0.0,21.1,31.0,0.5,0.0,0.032,-14.8,76.0,11.2,0.0,0.0005,0.0,0.0,19.4,24.1,8.2,7.7
Denver,2019-01-02 06:00:00+00:00,0.0,19.4,28.0,0.4,0.001,0.031,-14.0,73.0,16.6,0.0,0.001,0.001,0.0,15.7,28.7,7.8,6.8
Denver,2019-01-02 07:00:00+00:00,0.0,15.7,22.0,0.3,0.001,0.031,-11.2,64.0,18.4,0.0,0.0,0.006,0.0,19.5,22.0,8.9,7.1
Denver,2019-01-02 08:00:00+00:00,0.0,19.5,27.0,0.6,0.001,0.034,-11.8,62.0,16.6,0.0005,0.0,0.014,0.0,24.1,17.1,7.6,9.0
Denver,2019-01-02 09:00:00+00:00,0.0005,24.1,33.0,0.75,0.0015,0.037000000000000005,-9.9,58.0,13.0,0.001,0.0,0.027,0.0005,28.7,8.2,5.9,6.8
Denver,2019-01-02 10:00:00+00:00,0.001,28.7,39.0,0.9,0.002,0.04,-9.7,59.0,9.4,0.0,0.001,0.03,0.001,22.0,7.8,5.7,4.6
Denver,2019-01-02 11:00:00+00:00,0.0,22.0,31.0,0.8,0.002,0.039,-12.2,63.0,14.8,0.0,0.006,0.03,0.0,17.1,8.9,6.4,4.7
Denver,2019-01-02 12:00:00+00:00,0.0,17.1,25.0,0.8,0.002,0.042,-11.4,68.0,14.8,0.0,0.014,0.031,0.0,8.2,7.6,6.1,4.9
Denver,2019-01-02 13:00:00+00:00,0.0,8.2,15.0,0.5,0.001,0.039,-11.1,67.0,20.5,0.001,0.027,0.028,0.001,7.8,5.9,6.6,4.5
Denver,2019-01-02 14:00:00+00:00,0.001,7.8,17.0,0.7,0.002,0.043,-10.4,70.0,18.4,0.006,0.03,0.023,0.003,8.9,5.7,7.1,4.9
Denver,2019-01-02 15:00:00+00:00,0.006,8.9,24.0,0.8,0.002,0.043,-9.9,69.0,20.5,0.014,0.03,0.008,0.011,7.6,6.4,9.5,5.0
Denver,2019-01-02 16:00:00+00:00,0.014,7.6,20.0,0.5,0.001,0.035,-6.3,53.0,11.2,0.027,0.031,0.001,0.019,5.9,6.1,10.8,5.0
Denver,2019-01-02 17:00:00+00:00,0.027,5.9,19.0,0.3,0.0,0.02,-3.5,43.0,11.2,0.03,0.028,0.0,0.023,5.7,6.6,11.9,5.9
Denver,2019-01-02 18:00:00+00:00,0.03,5.7,23.0,0.2,0.0,0.016,-1.2,40.0,13.0,0.03,0.023,0.001,0.027,6.4,7.1,15.3,5.3
Denver,2019-01-02 19:00:00+00:00,0.03,6.4,25.0,0.2,0.0,0.018,1.2,36.0,13.0,0.031,0.008,0.0,0.029,6.1,9.5,16.3,5.3
Denver,2019-01-02 20:00:00+00:00,0.031,6.1,25.0,0.2,0.0,0.019,2.5,33.0,11.2,0.028,0.001,0.002,0.033,6.6,10.8,8.9,4.2
Denver,2019-01-02 21:00:00+00:00,0.028,6.6,29.0,0.3,0.0,0.023,3.2,41.0,7.6,0.023,0.0,0.0,0.032,7.1,11.9,7.7,4.4
Denver,2019-01-02 22:00:00+00:00,0.023,7.1,33.0,0.4,0.0,0.029,3.8,39.0,7.6,0.008,0.001,0.0,0.033,9.5,15.3,6.8,3.5
Denver,2019-01-02 23:00:00+00:00,0.008,9.5,55.0,0.7,0.0,0.044,2.4,48.0,7.6,0.001,0.0,0.0,0.015,10.8,16.3,7.1,5.5
Denver,2019-01-03 00:00:00+00:00,0.001,10.8,51.0,1.3,0.002,0.05,0.1,45.0,7.6,0.0,0.002,0.0,0.001,11.9,8.9,9.0,11.6
Denver,2019-01-03 01:00:00+00:00,0.0,11.9,46.0,1.2,0.003,0.05,0.5,36.0,0.0,0.001,0.0,0.0005,0.001,15.3,7.7,6.8,15.3
Denver,2019-01-03 02:00:00+00:00,0.001,15.3,37.0,1.3,0.003,0.051,-3.2,47.0,9.4,0.0,0.0,0.001,0.0,16.3,6.8,4.6,15.8
Denver,2019-01-03 03:00:00+00:00,0.0,16.3,33.0,1.1,0.002,0.049,-6.6,58.0,14.8,0.002,0.0,0.0,0.001,8.9,7.1,4.7,9.6
Denver,2019-01-03 04:00:00+00:00,0.002,8.9,18.0,0.4,0.0,0.047,-6.0,56.0,20.5,0.0,0.0,0.0,0.0,7.7,9.0,4.9,10.5
Denver,2019-01-03 05:00:00+00:00,0.0,7.7,19.0,0.6,0.001,0.045,-5.1,52.0,18.4,0.0,0.0005,0.001,0.0,6.8,6.8,4.5,7.5
Denver,2019-01-03 06:00:00+00:00,0.0,6.8,15.0,0.6,0.001,0.044,-4.7,49.0,18.4,0.0,0.001,0.003,0.0,7.1,4.6,4.9,7.3
Denver,2019-01-03 07:00:00+00:00,0.0,7.1,16.0,0.6,0.001,0.045,-4.8,47.0,18.4,0.0,0.0,0.011,0.0,9.0,4.7,5.0,5.6
Denver,2019-01-03 08:00:00+00:00,0.0,9.0,16.0,0.6,0.001,0.045,-5.3,47.0,14.8,0.0005,0.0,0.019,0.001,6.8,4.9,5.0,4.3
Denver,2019-01-03 09:00:00+00:00,0.0005,6.8,13.5,0.44999999999999996,0.0005,0.044,-5.7,47.0,11.2,0.001,0.001,0.023,0.0035,4.6,4.5,5.9,3.75
Denver,2019-01-03 10:00:00+00:00,0.001,4.6,11.0,0.3,0.0,0.043,-5.2,45.0,14.8,0.0,0.003,0.027,0.006,4.7,4.9,5.3,3.2
Denver,2019-01-03 11:00:00+00:00,0.0,4.7,11.0,0.3,0.0,0.044,-4.6,44.0,13.0,0.0,0.011,0.029,0.012,4.9,5.0,5.3,2.5
Denver,2019-01-03 12:00:00+00:00,0.0,4.9,11.0,0.4,0.001,0.045,-4.3,42.0,20.5,0.001,0.019,0.033,0.013,4.5,5.0,4.2,2.6
Denver,2019-01-03 13:00:00+00:00,0.001,4.5,12.0,0.5,0.0,0.044,-4.2,43.0,18.4,0.003,0.023,0.032,0.0,4.9,5.9,4.4,4.1
Denver,2019-01-03 14:00:00+00:00,0.003,4.9,16.0,0.5,0.001,0.043,-3.6,42.0,18.4,0.011,0.027,0.033,0.001,5.0,5.3,3.5,5.0
Denver,2019-01-03 15:00:00+00:00,0.011,5.0,18.0,0.4,0.001,0.036,-3.1,43.0,18.4,0.019,0.029,0.015,0.003,5.0,5.3,5.5,6.1
Denver,2019-01-03 16:00:00+00:00,0.019,5.0,30.0,0.3,0.0,0.028,0.8,36.0,16.6,0.023,0.033,0.001,0.012,5.9,4.2,11.6,5.9
Denver,2019-01-03 17:00:00+00:00,0.023,5.9,33.0,0.3,0.0,0.024,4.3,32.0,13.0,0.027,0.032,0.001,0.021,5.3,4.4,15.3,5.8
Denver,2019-01-03 18:00:00+00:00,0.027,5.3,27.0,0.2,0.0,0.02,7.5,28.0,9.4,0.029,0.033,0.0,0.026,5.3,3.5,15.8,5.6
Denver,2019-01-03 19:00:00+00:00,0.029,5.3,27.0,0.2,0.0,0.019,9.9,25.0,7.6,0.033,0.015,0.001,0.031,4.2,5.5,9.6,5.3
Denver,2019-01-03 20:00:00+00:00,0.033,4.2,22.0,0.2,0.0,0.015,11.1,22.0,5.4,0.032,0.001,0.0,0.033,4.4,11.6,10.5,4.5
Denver,2019-01-03 21:00:00+00:00,0.032,4.4,24.0,0.2,0.0,0.018,11.9,22.0,0.0,0.033,0.001,0.0,0.03,3.5,15.3,7.5,4.8
Denver,2019-01-03 22:00:00+00:00,0.033,3.5,19.0,0.2,0.0,0.015,11.8,21.0,0.0,0.015,0.0,0.0,0.023,5.5,15.8,7.3,5.3
Denver,2019-01-03 23:00:00+00:00,0.015,5.5,38.0,0.4,0.0,0.032,11.4,25.0,5.4,0.001,0.001,0.0,0.005,11.6,9.6,5.6,9.4
Denver,2019-01-04 00:00:00+00:00,0.001,11.6,63.0,1.2,0.002,0.047,4.5,42.0,13.0,0.001,0.0,0.001,0.0,15.3,10.5,4.3,15.5
Denver,2019-01-04 01:00:00+00:00,0.001,15.3,67.0,1.4,0.003,0.048,4.4,42.0,13.0,0.0,0.0,0.0035,0.0,15.8,7.5,3.75,15.5
Denver,2019-01-04 02:00:00+00:00,0.0,15.8,51.0,1.2,0.003,0.046,2.4,49.0,14.8,0.001,0.0,0.006,0.0,9.6,7.3,3.2,12.3
Denver,2019-01-04 03:00:00+00:00,0.001,9.6,25.0,0.5,0.0,0.038,1.7,50.0,16.6,0.0,0.0,0.012,0.0,10.5,5.6,2.5,15.3
Denver,2019-01-04 04:00:00+00:00,0.0,10.5,24.0,0.6,0.001,0.0385,1.3,51.0,14.8,0.0,0.001,0.013,0.0,7.5,4.3,2.6,19.6
Denver,2019-01-04 05:00:00+00:00,0.0,7.5,17.0,0.5,0.001,0.039,1.7,49.0,16.6,0.0,0.0035,0.0,0.0,7.3,3.75,4.1,15.2
Denver,2019-01-04 06:00:00+00:00,0.0,7.3,16.0,0.6,0.001,0.039,2.0,49.0,18.4,0.0,0.006,0.001,0.0,5.6,3.2,5.0,9.1
Denver,2019-01-04 07:00:00+00:00,0.0,5.6,13.0,0.4,0.0005,0.039,1.4,51.0,16.6,0.001,0.012,0.003,0.0,4.3,2.5,6.1,7.5
Denver,2019-01-04 08:00:00+00:00,0.001,4.3,10.0,0.3,0.0,0.038,1.2,52.0,18.4,0.0035,0.013,0.012,0.0,3.75,2.6,5.9,6.6
Denver,2019-01-04 09:00:00+00:00,0.0035,3.75,9.0,0.25,0.0,0.036500000000000005,1.5,51.0,16.6,0.006,0.0,0.021,0.0,3.2,4.1,5.8,6.35
Denver,2019-01-04 10:00:00+00:00,0.006,3.2,8.0,0.2,0.0,0.035,1.1,52.0,14.8,0.012,0.001,0.026,0.0,2.5,5.0,5.6,6.1
